Date_Time,CO_sensor,month,week,day,day_of_year,day_of_week,hour,is_weekend,CO_sensor_lag_1,RH_lag_1,CO_sensor_lag_24,RH_lag_24,CO_sensor_lag_5_x,RH_lag_5_x,CO_sensor_lag_14_x,RH_lag_14_x,CO_sensor_lag_8_x,RH_lag_8_x,CO_sensor_lag_19_x,RH_lag_19_x,CO_sensor_lag_5_y,RH_lag_5_y,CO_sensor_lag_14_y,RH_lag_14_y,CO_sensor_lag_8_y,RH_lag_8_y,CO_sensor_lag_19_y,RH_lag_19_y,CO_sensor_window_mean_5,RH_window_mean_5,CO_sensor_window_std_5,RH_window_std_5,month_sin,month_cos,hour_sin,hour_cos
2004-04-05 10:00:00,1461.0,4,15,5,96,0,10,0,1499.0,56.7,1324.0,40.7,1024.0,63.9,1366.0,48.9,983.0,61.5,1296.0,30.8,1024.0,63.9,1366.0,48.9,983.0,61.5,1296.0,30.8,1339.0,61.44,255.55527777762677,3.588593039061401,0.8660254037844388,-0.4999999999999998,0.3984010898462418,-0.9172113015054528
2004-04-05 11:00:00,1430.0,4,15,5,96,0,11,0,1461.0,57.4,1268.0,37.1,1126.0,65.3,1113.0,56.1,876.0,56.9,1345.0,36.0,1126.0,65.3,1113.0,56.1,876.0,56.9,1345.0,36.0,1426.4,60.14,186.21170747297276,3.6514380728693636,0.8660254037844388,-0.4999999999999998,0.13616664909624665,-0.9906859460363308
2004-04-05 12:00:00,1498.0,4,15,5,96,0,12,0,1430.0,55.2,1272.0,33.8,1415.0,62.5,1196.0,58.8,884.0,54.0,1296.0,36.2,1415.0,62.5,1196.0,58.8,884.0,54.0,1296.0,36.2,1487.2,58.11999999999999,86.58637306181598,2.7707399733645004,0.8660254037844388,-0.4999999999999998,-0.13616664909624643,-0.9906859460363308
2004-04-05 13:00:00,1454.0,4,15,5,96,0,13,0,1498.0,54.3,1160.0,32.1,1631.0,58.8,1188.0,60.8,1024.0,63.9,1258.0,39.3,1631.0,58.8,1188.0,60.8,1024.0,63.9,1258.0,39.3,1503.8,56.48,76.67268092352042,1.7796066981217809,0.8660254037844388,-0.4999999999999998,-0.3984010898462412,-0.9172113015054532
2004-04-05 14:00:00,1402.0,4,15,5,96,0,14,0,1454.0,51.5,1136.0,31.1,1499.0,56.7,1102.0,64.4,1126.0,65.3,1420.0,44.6,1499.0,56.7,1102.0,64.4,1126.0,65.3,1420.0,44.6,1468.4,55.02,29.78758130496616,2.314519388555625,0.8660254037844388,-0.4999999999999998,-0.6310879443260529,-0.7757112907044198
2004-04-05 15:00:00,1327.0,4,15,5,96,0,15,0,1402.0,47.5,1296.0,30.8,1461.0,57.4,969.0,63.3,1415.0,62.5,1366.0,48.9,1461.0,57.4,969.0,63.3,1415.0,62.5,1366.0,48.9,1449.0,53.18000000000001,35.84689665786943,3.8153636786025884,0.8660254037844388,-0.4999999999999998,-0.8169698930104419,-0.5766803221148673
2004-04-05 16:00:00,1273.0,4,15,5,96,0,16,0,1327.0,41.7,1345.0,36.0,1430.0,55.2,983.0,61.5,1631.0,58.8,1113.0,56.1,1430.0,55.2,983.0,61.5,1631.0,58.8,1113.0,56.1,1422.2,50.040000000000006,63.813791612785174,5.543284225078109,0.8660254037844388,-0.4999999999999998,-0.9422609221188204,-0.3348796121709864
2004-04-05 17:00:00,1457.0,4,15,5,96,0,17,0,1273.0,38.3,1296.0,36.2,1498.0,54.3,876.0,56.9,1499.0,56.7,1196.0,58.8,1498.0,54.3,876.0,56.9,1499.0,56.7,1196.0,58.8,1390.8,46.66,91.59530555656207,6.6519170169207404,0.8660254037844388,-0.4999999999999998,-0.9976687691905392,-0.06824241336467135
2004-04-05 18:00:00,1543.0,4,15,5,96,0,18,0,1457.0,42.8,1258.0,39.3,1454.0,51.5,884.0,54.0,1461.0,57.4,1188.0,60.8,1454.0,51.5,884.0,54.0,1461.0,57.4,1188.0,60.8,1382.6,44.36,80.79789601221043,5.173780049441576,0.8660254037844388,-0.4999999999999998,-0.979084087682323,0.20345601305263328
2004-04-05 19:00:00,1499.0,4,15,5,96,0,19,0,1543.0,45.4,1420.0,44.6,1402.0,47.5,1024.0,63.9,1430.0,55.2,1102.0,64.4,1402.0,47.5,1024.0,63.9,1430.0,55.2,1102.0,64.4,1400.4,43.14,106.2534705315547,3.526045944113552,0.8660254037844388,-0.4999999999999998,-0.8878852184023756,0.4600650377311516
2004-04-05 20:00:00,1378.0,4,15,5,96,0,20,0,1499.0,47.5,1366.0,48.9,1327.0,41.7,1126.0,65.3,1498.0,54.3,969.0,63.3,1327.0,41.7,1126.0,65.3,1498.0,54.3,969.0,63.3,1419.8,43.14,115.10516930181704,3.526045944113552,0.8660254037844388,-0.4999999999999998,-0.7308359642781246,0.6825531432186535
2004-04-05 21:00:00,1243.0,4,15,5,96,0,21,0,1378.0,49.4,1113.0,56.1,1273.0,38.3,1415.0,62.5,1454.0,51.5,983.0,61.5,1273.0,38.3,1415.0,62.5,1454.0,51.5,983.0,61.5,1430.0,44.67999999999999,106.78483038334595,4.329780594903127,0.8660254037844388,-0.4999999999999998,-0.5195839500354336,0.8544194045464886
2004-04-05 22:00:00,1196.0,4,15,5,96,0,22,0,1243.0,50.9,1196.0,58.8,1457.0,42.8,1631.0,58.8,1402.0,47.5,876.0,56.9,1457.0,42.8,1631.0,58.8,1402.0,47.5,876.0,56.9,1424.0,47.2,118.05930712993349,3.2101401838548647,0.8660254037844388,-0.4999999999999998,-0.2697967711570244,0.9629172873477992
2004-04-05 23:00:00,1137.0,4,15,5,96,0,23,0,1196.0,51.8,1188.0,60.8,1543.0,45.4,1499.0,56.7,1327.0,41.7,884.0,54.0,1543.0,45.4,1499.0,56.7,1327.0,41.7,884.0,54.0,1371.8,49.0,152.49819671064952,2.58940147524477,0.8660254037844388,-0.4999999999999998,-2.4492935982947064e-16,1.0
2004-04-06 00:00:00,1015.0,4,15,6,97,1,0,0,1137.0,53.9,1102.0,64.4,1499.0,47.5,1461.0,57.4,1273.0,38.3,1024.0,63.9,1499.0,47.5,1461.0,57.4,1273.0,38.3,1024.0,63.9,1290.6,50.7,146.52405945782402,2.4197107265125393,0.8660254037844388,-0.4999999999999998,0.0,1.0
2004-04-06 01:00:00,978.0,4,15,6,97,1,1,0,1015.0,55.4,969.0,63.3,1378.0,49.4,1430.0,55.2,1457.0,42.8,1126.0,65.3,1378.0,49.4,1430.0,55.2,1457.0,42.8,1126.0,65.3,1193.8,52.279999999999994,133.7449064450678,2.386838913709906,0.8660254037844388,-0.4999999999999998,0.2697967711570243,0.9629172873477994
2004-04-06 02:00:00,933.0,4,15,6,97,1,2,0,978.0,57.0,983.0,61.5,1243.0,50.9,1498.0,54.3,1543.0,45.4,1415.0,62.5,1243.0,50.9,1498.0,54.3,1543.0,45.4,1415.0,62.5,1113.8,53.8,114.22652931784253,2.510975905897929,0.8660254037844388,-0.4999999999999998,0.5195839500354336,0.8544194045464886
2004-04-06 03:00:00,927.0,4,15,6,97,1,3,0,933.0,59.2,876.0,56.9,1196.0,51.8,1454.0,51.5,1499.0,47.5,1631.0,58.8,1196.0,51.8,1454.0,51.5,1499.0,47.5,1631.0,58.8,1051.8,55.46,110.64221617447807,2.836899716239536,0.8660254037844388,-0.4999999999999998,0.730835964278124,0.6825531432186541
2004-04-06 04:00:00,908.0,4,15,6,97,1,4,0,927.0,61.4,884.0,54.0,1137.0,53.9,1402.0,47.5,1378.0,49.4,1499.0,56.7,1137.0,53.9,1402.0,47.5,1378.0,49.4,1499.0,56.7,998.0,57.379999999999995,85.55115428794595,2.9852973051272422,0.8660254037844388,-0.4999999999999998,0.8878852184023752,0.46006503773115215
2004-04-06 05:00:00,980.0,4,15,6,97,1,5,0,908.0,61.6,1024.0,63.9,1015.0,55.4,1327.0,41.7,1243.0,50.9,1461.0,57.4,1015.0,55.4,1327.0,41.7,1243.0,50.9,1461.0,57.4,952.2,58.92,43.493677701476734,2.7151427218472324,0.8660254037844388,-0.4999999999999998,0.9790840876823228,0.20345601305263397
2004-04-06 06:00:00,1236.0,4,15,6,97,1,6,0,980.0,58.8,1126.0,65.3,978.0,57.0,1273.0,38.3,1196.0,51.8,1430.0,55.2,978.0,57.0,1273.0,38.3,1196.0,51.8,1430.0,55.2,945.2,59.6,32.21335126930967,1.9235384061671348,0.8660254037844388,-0.4999999999999998,0.9976687691905392,-0.06824241336467089
2004-04-06 07:00:00,1664.0,4,15,6,97,1,7,0,1236.0,58.9,1415.0,62.5,933.0,59.2,1457.0,42.8,1137.0,53.9,1498.0,54.3,933.0,59.2,1457.0,42.8,1137.0,53.9,1498.0,54.3,996.8,59.98,136.3147094043777,1.3971399357258414,0.8660254037844388,-0.4999999999999998,0.9422609221188205,-0.33487961217098616
2004-04-06 08:00:00,1757.0,4,15,6,97,1,8,0,1664.0,55.2,1631.0,58.8,927.0,61.4,1543.0,45.4,1015.0,55.4,1454.0,51.5,927.0,61.4,1543.0,45.4,1015.0,55.4,1454.0,51.5,1143.0,59.18000000000001,319.5856692656915,2.5907527863538045,0.8660254037844388,-0.4999999999999998,0.8169698930104421,-0.576680322114867
2004-04-06 09:00:00,1524.0,4,15,6,97,1,9,0,1757.0,52.5,1499.0,56.7,908.0,61.6,1499.0,47.5,978.0,57.0,1402.0,47.5,908.0,61.6,1499.0,47.5,978.0,57.0,1402.0,47.5,1309.0,57.4,387.6531955240405,3.56019662378358,0.8660254037844388,-0.4999999999999998,0.631087944326053,-0.7757112907044197
2004-04-06 10:00:00,1329.0,4,15,6,97,1,10,0,1524.0,46.3,1461.0,57.4,980.0,58.8,1378.0,49.4,933.0,59.2,1327.0,41.7,980.0,58.8,1378.0,49.4,933.0,59.2,1327.0,41.7,1432.2,54.339999999999996,320.40318350478344,5.230965494055565,0.8660254037844388,-0.4999999999999998,0.3984010898462418,-0.9172113015054528
2004-04-06 11:00:00,1167.0,4,15,6,97,1,11,0,1329.0,41.8,1430.0,55.2,1236.0,58.9,1243.0,50.9,927.0,61.4,1273.0,38.3,1236.0,58.9,1243.0,50.9,927.0,61.4,1273.0,38.3,1502.0,50.94,219.33877906106784,6.874081756860328,0.8660254037844388,-0.4999999999999998,0.13616664909624665,-0.9906859460363308
2004-04-06 12:00:00,1369.0,4,15,6,97,1,12,0,1167.0,40.1,1498.0,54.3,1664.0,55.2,1196.0,51.8,908.0,61.6,1457.0,42.8,1664.0,55.2,1196.0,51.8,908.0,61.6,1457.0,42.8,1488.2,47.17999999999999,241.32695663767018,6.566353630440562,0.8660254037844388,-0.4999999999999998,-0.13616664909624643,-0.9906859460363308
2004-04-06 13:00:00,1284.0,4,15,6,97,1,13,0,1369.0,36.6,1454.0,51.5,1757.0,52.5,1137.0,53.9,980.0,58.8,1543.0,45.4,1757.0,52.5,1137.0,53.9,980.0,58.8,1543.0,45.4,1429.2,43.46,222.96457117667808,6.141905241861024,0.8660254037844388,-0.4999999999999998,-0.3984010898462412,-0.9172113015054532
2004-04-06 14:00:00,1221.0,4,15,6,97,1,14,0,1284.0,34.7,1402.0,47.5,1524.0,46.3,1015.0,55.4,1236.0,58.9,1499.0,47.5,1524.0,46.3,1015.0,55.4,1236.0,58.9,1499.0,47.5,1334.6,39.9,130.13185620746347,4.542576361493545,0.8660254037844388,-0.4999999999999998,-0.6310879443260529,-0.7757112907044198
2004-04-06 15:00:00,1096.0,4,15,6,97,1,15,0,1221.0,35.4,1327.0,41.7,1329.0,41.8,978.0,57.0,1664.0,55.2,1378.0,49.4,1329.0,41.8,978.0,57.0,1664.0,55.2,1378.0,49.4,1274.0,37.72,81.25269226308716,3.084963533009748,0.8660254037844388,-0.4999999999999998,-0.8169698930104419,-0.5766803221148673
2004-04-06 16:00:00,1143.0,4,15,6,97,1,16,0,1096.0,36.9,1273.0,38.3,1167.0,40.1,933.0,59.2,1757.0,52.5,1243.0,50.9,1167.0,40.1,933.0,59.2,1757.0,52.5,1243.0,50.9,1227.4,36.74,105.12991962329254,2.0791825316696007,0.8660254037844388,-0.4999999999999998,-0.9422609221188204,-0.3348796121709864
2004-04-06 17:00:00,1251.0,4,15,6,97,1,17,0,1143.0,36.8,1457.0,42.8,1369.0,36.6,927.0,61.4,1524.0,46.3,1196.0,51.8,1369.0,36.6,927.0,61.4,1524.0,46.3,1196.0,51.8,1222.6,36.08,109.05182254322916,0.9782637681116589,0.8660254037844388,-0.4999999999999998,-0.9976687691905392,-0.06824241336467135
2004-04-06 18:00:00,1268.0,4,15,6,97,1,18,0,1251.0,40.6,1543.0,45.4,1284.0,34.7,908.0,61.6,1329.0,41.8,1137.0,53.9,1284.0,34.7,908.0,61.6,1329.0,41.8,1137.0,53.9,1199.0,36.879999999999995,77.7142200629971,2.2796929617823523,0.8660254037844388,-0.4999999999999998,-0.979084087682323,0.20345601305263328
2004-04-06 19:00:00,1314.0,4,15,6,97,1,19,0,1268.0,44.3,1499.0,47.5,1221.0,35.4,980.0,58.8,1167.0,40.1,1015.0,55.4,1221.0,35.4,980.0,58.8,1167.0,40.1,1015.0,55.4,1195.8,38.8,73.55746053256557,3.628360511305336,0.8660254037844388,-0.4999999999999998,-0.8878852184023756,0.4600650377311516
2004-04-06 20:00:00,1315.0,4,15,6,97,1,20,0,1314.0,47.7,1378.0,49.4,1096.0,36.9,1236.0,58.9,1369.0,36.6,978.0,57.0,1096.0,36.9,1236.0,58.9,1369.0,36.6,978.0,57.0,1214.4,41.260000000000005,91.17181582046031,4.744786612693964,0.8660254037844388,-0.4999999999999998,-0.7308359642781246,0.6825531432186535
2004-04-06 21:00:00,1095.0,4,15,6,97,1,21,0,1315.0,50.7,1243.0,50.9,1143.0,36.8,1664.0,55.2,1284.0,34.7,933.0,59.2,1143.0,36.8,1664.0,55.2,1284.0,34.7,933.0,59.2,1258.2,44.019999999999996,70.28299936684499,5.5242194018702575,0.8660254037844388,-0.4999999999999998,-0.5195839500354336,0.8544194045464886
2004-04-06 22:00:00,1027.0,4,15,6,97,1,22,0,1095.0,49.4,1196.0,51.8,1251.0,40.6,1757.0,52.5,1221.0,35.4,927.0,61.4,1251.0,40.6,1757.0,52.5,1221.0,35.4,927.0,61.4,1248.6,46.540000000000006,90.3620495562154,4.096705993844286,0.8660254037844388,-0.4999999999999998,-0.2697967711570244,0.9629172873477992
2004-04-06 23:00:00,1012.0,4,15,6,97,1,23,0,1027.0,48.6,1137.0,53.9,1268.0,44.3,1524.0,46.3,1096.0,36.9,908.0,61.6,1268.0,44.3,1524.0,46.3,1096.0,36.9,908.0,61.6,1203.8,48.14,133.9092976607671,2.413089306262751,0.8660254037844388,-0.4999999999999998,-2.4492935982947064e-16,1.0
2004-04-07 00:00:00,948.0,4,15,7,98,2,0,0,1012.0,47.0,1015.0,55.4,1314.0,47.7,1329.0,41.8,1143.0,36.8,980.0,58.8,1314.0,47.7,1329.0,41.8,1143.0,36.8,980.0,58.8,1152.6,48.68,151.06720358833653,1.448102206337529,0.8660254037844388,-0.4999999999999998,0.0,1.0
2004-04-07 01:00:00,889.0,4,15,7,98,2,1,0,948.0,45.9,978.0,57.0,1315.0,50.7,1167.0,40.1,1251.0,40.6,1236.0,58.9,1315.0,50.7,1167.0,40.1,1251.0,40.6,1236.0,58.9,1079.4,48.32,141.69086067915572,1.9044684297723715,0.8660254037844388,-0.4999999999999998,0.2697967711570243,0.9629172873477994
2004-04-07 02:00:00,830.0,4,15,7,98,2,2,0,889.0,44.9,933.0,59.2,1095.0,49.4,1369.0,36.6,1268.0,44.3,1664.0,55.2,1095.0,49.4,1369.0,36.6,1268.0,44.3,1664.0,55.2,994.2,47.160000000000004,78.66829094368286,1.8582249594706493,0.8660254037844388,-0.4999999999999998,0.5195839500354336,0.8544194045464886
2004-04-07 03:00:00,801.0,4,15,7,98,2,3,0,830.0,44.4,927.0,61.4,1027.0,48.6,1284.0,34.7,1314.0,47.7,1757.0,52.5,1027.0,48.6,1284.0,34.7,1314.0,47.7,1757.0,52.5,941.2,46.16,82.93189977324732,1.6890825912310339,0.8660254037844388,-0.4999999999999998,0.730835964278124,0.6825531432186541
2004-04-07 04:00:00,804.0,4,15,7,98,2,4,0,801.0,42.4,908.0,61.6,1012.0,47.0,1221.0,35.4,1315.0,50.7,1524.0,46.3,1012.0,47.0,1221.0,35.4,1315.0,50.7,1524.0,46.3,896.0,44.92,86.008720488099,1.7253985046938598,0.8660254037844388,-0.4999999999999998,0.8878852184023752,0.46006503773115215
2004-04-07 05:00:00,824.0,4,15,7,98,2,5,0,804.0,45.4,980.0,58.8,948.0,45.9,1096.0,36.9,1095.0,49.4,1329.0,41.8,948.0,45.9,1096.0,36.9,1095.0,49.4,1329.0,41.8,854.4,44.6,63.137152295617035,1.3509256086105648,0.8660254037844388,-0.4999999999999998,0.9790840876823228,0.20345601305263397
2004-04-07 06:00:00,1000.0,4,15,7,98,2,6,0,824.0,50.1,1236.0,58.9,889.0,44.9,1143.0,36.8,1027.0,48.6,1167.0,40.1,889.0,44.9,1143.0,36.8,1027.0,48.6,1167.0,40.1,829.6,45.44,35.472524578889775,2.8430617298960974,0.8660254037844388,-0.4999999999999998,0.9976687691905392,-0.06824241336467089
2004-04-07 07:00:00,1307.0,4,15,7,98,2,7,0,1000.0,58.6,1664.0,55.2,830.0,44.4,1251.0,40.6,1012.0,47.0,1369.0,36.6,830.0,44.4,1251.0,40.6,1012.0,47.0,1369.0,36.6,851.8,48.18,83.78066602743107,6.474720071169074,0.8660254037844388,-0.4999999999999998,0.9422609221188205,-0.33487961217098616
2004-04-07 08:00:00,1286.0,4,15,7,98,2,8,0,1307.0,58.2,1757.0,52.5,801.0,42.4,1268.0,44.3,948.0,45.9,1284.0,34.7,801.0,42.4,1268.0,44.3,948.0,45.9,1284.0,34.7,947.2,50.940000000000005,217.54470804871337,7.343568614781202,0.8660254037844388,-0.4999999999999998,0.8169698930104421,-0.576680322114867
2004-04-07 09:00:00,1150.0,4,15,7,98,2,9,0,1286.0,52.0,1524.0,46.3,804.0,45.4,1314.0,47.7,889.0,44.9,1221.0,35.4,804.0,45.4,1314.0,47.7,889.0,44.9,1221.0,35.4,1044.2,52.86,242.72865508629164,5.600714240166103,0.8660254037844388,-0.4999999999999998,0.631087944326053,-0.7757112907044197
2004-04-07 10:00:00,1087.0,4,15,7,98,2,10,0,1150.0,61.4,1329.0,41.8,824.0,50.1,1315.0,50.7,830.0,44.4,1096.0,36.9,824.0,50.1,1315.0,50.7,830.0,44.4,1096.0,36.9,1113.4,56.06,203.2382837951549,4.784140466165174,0.8660254037844388,-0.4999999999999998,0.3984010898462418,-0.9172113015054528
2004-04-07 11:00:00,1016.0,4,15,7,98,2,11,0,1087.0,53.1,1167.0,40.1,1000.0,58.6,1095.0,49.4,801.0,42.4,1143.0,36.8,1000.0,58.6,1095.0,49.4,801.0,42.4,1143.0,36.8,1166.0,56.660000000000004,130.70386375314203,3.9683749822816745,0.8660254037844388,-0.4999999999999998,0.13616664909624665,-0.9906859460363308
2004-04-07 12:00:00,1029.0,4,15,7,98,2,12,0,1016.0,44.3,1369.0,36.6,1307.0,58.2,1027.0,48.6,804.0,45.4,1251.0,40.6,1307.0,58.2,1027.0,48.6,804.0,45.4,1251.0,40.6,1169.2,53.8,125.72469924402253,6.54025993367231,0.8660254037844388,-0.4999999999999998,-0.13616664909624643,-0.9906859460363308
2004-04-07 13:00:00,1109.0,4,15,7,98,2,13,0,1029.0,40.3,1284.0,34.7,1286.0,52.0,1012.0,47.0,824.0,50.1,1268.0,44.3,1286.0,52.0,1012.0,47.0,824.0,50.1,1268.0,44.3,1113.6,50.22,110.04226460774022,8.214438507895693,0.8660254037844388,-0.4999999999999998,-0.3984010898462412,-0.9172113015054532
2004-04-07 14:00:00,997.0,4,15,7,98,2,14,0,1109.0,42.2,1221.0,35.4,1150.0,61.4,948.0,45.9,1000.0,58.6,1314.0,47.7,1150.0,61.4,948.0,45.9,1000.0,58.6,1314.0,47.7,1078.2,48.26,55.83636807672856,8.829665905344308,0.8660254037844388,-0.4999999999999998,-0.6310879443260529,-0.7757112907044198
2004-04-07 15:00:00,1177.0,4,15,7,98,2,15,0,997.0,51.8,1096.0,36.9,1087.0,53.1,889.0,44.9,1307.0,58.2,1315.0,50.7,1087.0,53.1,889.0,44.9,1307.0,58.2,1315.0,50.7,1047.6,46.339999999999996,48.029157810645735,5.772607729614049,0.8660254037844388,-0.4999999999999998,-0.8169698930104419,-0.5766803221148673
2004-04-07 16:00:00,1045.0,4,15,7,98,2,16,0,1177.0,76.4,1143.0,36.8,1016.0,44.3,830.0,44.4,1286.0,52.0,1095.0,49.4,1016.0,44.3,830.0,44.4,1286.0,52.0,1095.0,49.4,1065.6,51.0,75.49701980873095,14.854460609527345,0.8660254037844388,-0.4999999999999998,-0.9422609221188204,-0.3348796121709864
2004-04-07 17:00:00,1171.0,4,15,7,98,2,17,0,1045.0,47.7,1251.0,40.6,1029.0,40.3,801.0,42.4,1150.0,61.4,1027.0,48.6,1029.0,40.3,801.0,42.4,1150.0,61.4,1027.0,48.6,1071.4,51.68000000000001,71.75513918877111,14.54568664587545,0.8660254037844388,-0.4999999999999998,-0.9976687691905392,-0.06824241336467135
2004-04-07 18:00:00,1221.0,4,15,7,98,2,18,0,1171.0,37.1,1268.0,44.3,1109.0,42.2,804.0,45.4,1087.0,53.1,1012.0,47.0,1109.0,42.2,804.0,45.4,1087.0,53.1,1012.0,47.0,1099.8,51.040000000000006,78.55698568555133,15.226063181269133,0.8660254037844388,-0.4999999999999998,-0.979084087682323,0.20345601305263328
2004-04-07 19:00:00,1262.0,4,15,7,98,2,19,0,1221.0,48.7,1314.0,47.7,997.0,51.8,824.0,50.1,1016.0,44.3,948.0,45.9,997.0,51.8,824.0,50.1,1016.0,44.3,948.0,45.9,1122.2,52.34000000000001,95.89160547201155,14.544861635642993,0.8660254037844388,-0.4999999999999998,-0.8878852184023756,0.4600650377311516
2004-04-07 20:00:00,1207.0,4,15,7,98,2,20,0,1262.0,71.3,1315.0,50.7,1177.0,76.4,1000.0,58.6,1029.0,40.3,889.0,44.9,1177.0,76.4,1000.0,58.6,1029.0,40.3,889.0,44.9,1175.2,56.24000000000001,81.55488949167862,16.80291641352771,0.8660254037844388,-0.4999999999999998,-0.7308359642781246,0.6825531432186535
2004-04-07 21:00:00,956.0,4,15,7,98,2,21,0,1207.0,74.0,1095.0,49.4,1045.0,47.7,1307.0,58.2,1109.0,42.2,830.0,44.4,1045.0,47.7,1307.0,58.2,1109.0,42.2,830.0,44.4,1181.2,55.760000000000005,82.81424998150929,16.1027326873422,0.8660254037844388,-0.4999999999999998,-0.5195839500354336,0.8544194045464886
2004-04-07 22:00:00,1020.0,4,15,7,98,2,22,0,956.0,71.8,1027.0,48.6,1171.0,37.1,1286.0,52.0,997.0,51.8,801.0,42.4,1171.0,37.1,1286.0,52.0,997.0,51.8,801.0,42.4,1163.4,60.580000000000005,120.42964751256194,16.683434898125704,0.8660254037844388,-0.4999999999999998,-0.2697967711570244,0.9629172873477992
2004-04-07 23:00:00,1107.0,4,15,7,98,2,23,0,1020.0,75.2,1012.0,47.0,1221.0,48.7,1150.0,61.4,1177.0,76.4,804.0,45.4,1221.0,48.7,1150.0,61.4,1177.0,76.4,804.0,45.4,1133.2,68.2,135.97683626265143,11.01657841618703,0.8660254037844388,-0.4999999999999998,-2.4492935982947064e-16,1.0
